Province/State,Country/Region,,First confirmed date in country,Lat,Long,OK,1/21/2020 22:00,1/22/2020 12:00,1/23/2020 12:00,1/24/2020 0:00,1/24/2020 12:00,1/25/2020 0:00,1/25/2020 12:00,1/25/2020 22:00,1/26/2020 11:00,1/26/2020 23:00,1/27/2020 9:00,1/27/2020 19:00,1/27/2020 20:30,1/28/2020 13:00,1/28/2020 18:00,1/28/2020 23:00,1/29/2020 13:30,1/29/2020 14:30,1/29/2020 21:00,1/30/2020 11:00,1/31/2020 14:00,1/31/2020 19:00,2/1/2020 10:00,2/2/2020 21:00,2/3/2020 21:00
Bavaria,Germany,,1/27/2020,51.1657,10.4515,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Finland,,1/29/2020,61.9241,25.7482,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,United Arab Emirates,,1/29/2020,23.4241,53.8478,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Philippines,,1/29/2020,12.8797,121.774,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,India,,1/29/2020,20.5937,78.9629,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Italy,,1/31/2020,41.8719,12.5674,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UK,,1/31/2020,55.3781,-3.436,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Russia,,1/31/2020,61.524,105.3188,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sweden,,1/31/2020,60.1282,18.6435,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Spain,,2/1/2020,40.4637,-3.7492,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Australia,Australia,,2/1/2020,-34.9285,138.6007,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston, MA",US,,2/2/2020,42.3601,-71.0589,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China (Mainland),,,,,OK,25,28,30,34,36,38,39,49,49,51,56,58,60,73,101,104,106,120,127,135,214,242,275,478,612
,World,,,,,OK,25,28,30,34,36,38,39,49,52,54,59,61,63,79,107,110,112,126,133,141,220,248,284,487,621
